Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,Selection_Markers,Mod_Method,Mod_Direction
4126672.pdf,10.1371/journal.pone.0103770,Arabidopsis thaliana,Overexpression,"Homeotic conversions, wax accumulation",60% of plants showed strong phenotype; 30% medium; 10% mild,,"Flowering, Fruit Property, Fruit Yield, Gene Expression",MtAGa,,Unknown,Overexpression
4126672.pdf,10.1371/journal.pone.0103770,Arabidopsis thaliana,Overexpression,"Homeotic conversions, wax accumulation",60% of plants showed strong phenotype; 30% medium; 10% mild,,"Flowering, Fruit Property, Fruit Yield, Gene Expression",MtAGb,,Unknown,Overexpression
4136844.pdf,10.1371/journal.pone.0105363,Triticum aestivum,Promoter insertion of 43 bp,Overexpression of high molecular weight glutenin subunit 1Bx,Higher GUS activity in transgenic rice; Increased protein expression,Glu-1Bx promoter,"Above-Ground Biomass Property, Protein Expression",Glu-1Bx,,Unknown,Modification
4144763.pdf,10.1093/jxb/eru224,Arabidopsis thaliana,Agrobacterium-mediated overexpression,"Enhanced drought, salt, and cold tolerance",Increased biomass (43.1±0.2 mg to 45.5±0.6 mg); Increased root length; Higher chlorophyll content; Higher proline levels; Higher reducing sugars; Lower MDA content; Higher catalase activity; Higher SOD activity; Higher osmotic potential,CaMV 35S or rd29A,"Drought Tolerance, Salt Tolerance, Cold Tolerance, Stress Response, Plant Transformation",CcCDR,,Agrobacterium,Overexpression
4147252.pdf,10.1007/s00705-014-2066-7,Solanum lycopersicum,IR (Inverted Repeat) element modification,Increased DNA stability and replication efficiency,Replication efficiency increased by 50%; DNA stability prolonged by 30 days,,"Gene Expression, Disease Resistance",TYLCV,,Unknown,Modification
4147998.pdf,10.3389/fpls.2014.00433,Arabidopsis thaliana,"Loss-of-function mutation (etr1-6, etr1-7)",Improved seed germination after far-red light or darkness,"Germination rate: Wild-type ~20%, etr1 mutants ~40%",,"Seed Property, Germination",ETR1,,Unknown,Mutation
4172855.pdf,10.1186/s12870-014-0237-z,Arabidopsis thaliana,transgenic overexpression of RfBP,Early flowering,Days to flowering: 18 (RfBP+); Rosette leaves: 9 (RfBP+),,"Flowering, Above-Ground Biomass Property",RfBP,,Unknown,Overexpression
4177055.pdf,10.1186/s12870-014-0248-9,Medicago sativa,Agrobacterium-mediated overexpression,Increased antimicrobial activity against fungal pathogens without altering nitrogen-fixing symbiosis.,Zone of inhibition = 1.76 ± 0.06 mm; Percentage of diseased leaflets = 30% (transgenic) vs 60% (wild type) | 0.05; 0.03; 0.04 | 0.8; 0.2; 0,,"Disease Resistance, Plant Transformation, Above-Ground Biomass Property",MsSN1,,Agrobacterium,Overexpression
4177055.pdf,10.1186/s12870-014-0248-9,Medicago sativa,Agrobacterium-mediated overexpression,Increased antimicrobial activity against fungal pathogens without altering nitrogen-fixing symbiosis.,Zone of inhibition = 1.76 ± 0.06 mm; Percentage of diseased leaflets = 30% (transgenic) vs 60% (wild type) | 0.05; 0.03; 0.04 | 0.8; 0.2; 0,,Disease Resistance,MsSN1,,Agrobacterium,Overexpression
4195575.pdf,10.1371/journal.pone.0107117,Solanum lycopersicum,Agrobacterium-mediated overexpression using CaMV 35S promoter,Increased water stress tolerance,70% survival (OE); 30% survival (WT); 20% survival (AS),CaMV 35S,"Drought Tolerance, Water Utilization",ASR1,,Agrobacterium,Overexpression
4199496.pdf,10.1371/journal.pgen.1004664,Arabidopsis thaliana,CRISPR/Cas9 knockout,Enhanced salt tolerance,Survival rate increased by 90%; ROS accumulation decreased by 50% | Protein levels decreased by 70%,,"Disease Resistance, Stress Tolerance",EIN3/EIL1,,CRISPR/Cas9,Knockdown/Out
4199496.pdf,10.1371/journal.pgen.1004664,Arabidopsis thaliana,CRISPR/Cas9 knockout,Enhanced salt tolerance,Survival rate increased by 90%; ROS accumulation decreased by 50% | Protein levels decreased by 70%,,"Stress Tolerance, Protein Stability",EIN3/EIL1,,CRISPR/Cas9,Knockdown/Out
4207899.pdf,10.1186/s12870-014-0283-6,Oryza sativa,Overexpression in transgenic rice,Salinity stress tolerance,Improved antioxidant machinery; Increased photosynthesis,,"Disease Resistance, Photosynthesis",OsSUV3,,Unknown,Overexpression
4214763.pdf,10.1371/journal.pone.0111691,Thalictrum flavum,Site-directed mutagenesis,Induced IgE binding in birch pollen allergic subjects,71% (50/70 sera) showed significant IgE binding; 25/70 (36%) showed binding to D29NCS_4x,,"Gene Expression, Biosensing",Norcoclaurine synthase (NCS),,Unknown,Modification
4214763.pdf,10.1371/journal.pone.0111691,Thalictrum flavum,Recombinant protein engineering with amino acid substitutions,Induced IgE binding in birch pollen allergic subjects,71% (50/70 sera) showed significant IgE binding; 25/70 (36%) showed binding to D29NCS_4x,,"Gene Expression, Biosensing",Norcoclaurine synthase (NCS),,Unknown,Modification
4220096.pdf,10.3389/fpls.2014.00514,Populus tremula x p. alba,Heterologous over-expression,Stem dwarﬁsm; Reduced leaf size,Elevated ethylene levels; Reduced internode length,CaMV 35S promoter,"Plant Transformation, Disease Resistance, Above-Ground Biomass Property",ACC SYNTHASE8 (ACS8),,Unknown,Modification
4232687.pdf,10.1186/s12870-014-0293-4,Arabidopsis thaliana,PHD-like domain mutation,Constitutive expression of seed maturation genes and transgenes,Luciferase expression increased by 3-fold; H3K27me3 levels decreased by 50% | Seedling growth increased by 20% under drought conditions | Seedling growth inhibition reduced by 50% at 20 μM 5-azadC | Luciferase expression increased; H3K27me3 levels decreased,GSTF8 promoter,"Gene Expression, Seed Property",HSI2,,Unknown,Mutation
4232687.pdf,10.1186/s12870-014-0293-4,Arabidopsis thaliana,PHD-like domain mutation,Constitutive expression of seed maturation genes and transgenes,Luciferase expression increased by 3-fold; H3K27me3 levels decreased by 50% | Seedling growth increased by 20% under drought conditions | Seedling growth inhibition reduced by 50% at 20 μM 5-azadC | Luciferase expression increased; H3K27me3 levels decreased,GSTF8 promoter,"Drought Tolerance, Seed Property",HSI2,,Unknown,Mutation
4234379.pdf,10.1371/journal.pone.0112360,Arabidopsis thaliana,T-DNA insertional knockout,"Growth retardation, developmental defects",Seedlings with retarded growth: 8.21%; Non-germinated seeds: 17.02% | Seed germination defect: 17.02% non-germinated seeds; 8.21% retarded growth; 1.32% normal seedlings,,"Gene Expression, Plant Transformation",mTERF15,,Unknown,Knockdown/Out
4234379.pdf,10.1371/journal.pone.0112360,Arabidopsis thaliana,T-DNA insertional knockout,"Growth retardation, developmental defects",Seedlings with retarded growth: 8.21%; Non-germinated seeds: 17.02% | Seed germination defect: 17.02% non-germinated seeds; 8.21% retarded growth; 1.32% normal seedlings,,"Disease Resistance, Plant Transformation, Gene Expression",mTERF15,,Unknown,Knockdown/Out
4244629.pdf,10.1038/srep07197,Arabidopsis thaliana,T-DNA insertional knockout,"Extended transcriptional regulatory structures, enhanced robustness and diversification in target gene functions","916 DEGs in single mutants; 2137 DEGs in double mutants; 4820 DEGs in triple mutants | 916 DEGs in single mutants; 2,137 DEGs in double mutants; 4,820 DEGs in triple mutants",,"Gene Expression, Above-Ground Biomass Property, Biosensing, Flowering, Fruit Property, Fruit Yield, Leaf Property, Leaf Yield, Root Property, Root Yield, Wood Biomass Property, Wood Biomass Yield","ARR1, ARR10, ARR12",,Unknown,Knockdown/Out
4244629.pdf,10.1038/srep07197,Arabidopsis thaliana,T-DNA insertional knockout,"Extended transcriptional regulatory structures, enhanced robustness and diversification in target gene functions","916 DEGs in single mutants; 2137 DEGs in double mutants; 4820 DEGs in triple mutants | 916 DEGs in single mutants; 2,137 DEGs in double mutants; 4,820 DEGs in triple mutants",,"Gene Expression, Hormone Signaling","ARR1, ARR10, ARR12",,Unknown,Knockdown/Out
4258945.pdf,10.1186/s12915-014-0098-9,Solanum lycopersicum,Agrobacterium-mediated transformation for nahG gene expression,constitutively activated JA-signaling pathway,increased JA levels; increased JA-Ile levels | reduced SA levels; restored spider mite-induced JA responses,35S,"Disease Resistance, Defense Responses",prosystemin,,Agrobacterium,Modification
4258945.pdf,10.1186/s12915-014-0098-9,Solanum lycopersicum,Agrobacterium-mediated transformation for nahG gene expression,constitutively activated JA-signaling pathway,increased JA levels; increased JA-Ile levels | reduced SA levels; restored spider mite-induced JA responses,35S,"Defense Responses, Sa-Mediated Defenses",prosystemin,,Agrobacterium,Modification
4264158.pdf,10.3390/ijms151120101,Capsicum annuum  and nicotiana tabacum,Overexpression using Agrobacterium-mediated transformation with CaMV 35S promoter,Enhanced resistance to osmotic stresses,"Higher cell viability (76.51% and 55.9%) under osmotic stress; increased antioxidant enzyme activities (CAT, SOD, POD); higher RWC (84-87%); lower MDA levels (0.6 mMol/g FW^-1)",CaMV 35S promoter,"Drought Tolerance, Osmotic Stress Resistance, Antioxidant Activity",CaTIP1-1,,Agrobacterium,Overexpression
4275275.pdf,10.1371/journal.pone.0115906,Nicotiana tabacum,Agrobacterium-mediated overexpression,Cell wall properties,Decreased cellulose crystallinity; Increased wall xyloglucan content; Increased hydration capacity; Increased cell wall biomass; Increased protein content | decreased cellulose crystallinity; increased wall xyloIntroduction | increased hydration capacity; increased cell wall biomass; increased di-isodityrosine; increased protein content | wall phenotypes similar to wild type cells; changed extractability of xyloglucan epitopes,SStob (signal sequence of a tobacco extensin),"Above-Ground Biomass Property, Cell Wall Modification, Genetic Engineering","SStob-224-EGFP, SStob-242-EGFP, SStob-442-EGFP",,Agrobacterium,Overexpression
4275275.pdf,10.1371/journal.pone.0115906,Nicotiana tabacum,Agrobacterium-mediated overexpression,Cell wall properties,Decreased cellulose crystallinity; Increased wall xyloglucan content; Increased hydration capacity; Increased cell wall biomass; Increased protein content | decreased cellulose crystallinity; increased wall xyloIntroduction | increased hydration capacity; increased cell wall biomass; increased di-isodityrosine; increased protein content | wall phenotypes similar to wild type cells; changed extractability of xyloglucan epitopes,SStob (signal sequence of a tobacco extensin),"Above-Ground Biomass Property, Carbon Capture, Photosynthesis","SStob-224-EGFP, SStob-242-EGFP, SStob-442-EGFP",,Agrobacterium,Overexpression
4286711.pdf,10.5812/hepatmon.20524,Nicotiana tabacum,Agrobacterium-mediated transient expression,Enhanced expression of HCV core protein,Expression level increased by 5-fold with P19 co-agroinfiltration,CaMV 35S promoter,"Pharmaceutical Precursors, Biosensing",HCVcp,,Agrobacterium,Modification
4286711.pdf,10.5812/hepatmon.20524,Nicotiana tabacum,Transient expression using Agrobacterium-mediated transformation,Enhanced expression of HCV core protein,Expression level increased by 5-fold with P19 co-agroinfiltration,CaMV 35S promoter,"Pharmaceutical Precursors, Biosensing",HCVcp,,Agrobacterium,Modification
4288329.pdf,10.3389/fpls.2014.00725,Arabidopsis thaliana,T-DNA insertional knockout,"Stunted growth, reduced rosette diameter, decreased seed production",Rosette diameter: 1.10 ± 0.1 cm; Number of rosette leaves: 9.4 ± 0.5; Seed weight: 51.7 ± 2 mg,,"Disease Resistance, Plant Transformation",IMPL2,,Unknown,Knockdown/Out
4288329.pdf,10.3389/fpls.2014.00725,Arabidopsis thaliana,T-DNA insertion mutation,"Stunted growth, reduced rosette diameter, decreased seed production",Rosette diameter: 1.10 ± 0.1 cm; Number of rosette leaves: 9.4 ± 0.5; Seed weight: 51.7 ± 2 mg,,"Disease Resistance, Plant Transformation",IMPL2,,Unknown,Mutation
4288972.pdf,10.1111/nph.12723,Phalaenopsis,Virus-induced gene silencing (VIGS),"Flower development abnormalities, increased chlorophyll content, leaf-like organ transformation",Chlorophyll content increased by three- to seven-fold; Anthocyanin content slightly decreased,,"Flower Property, Disease Resistance",PeSEP3,,VIGS,Knockdown/Out
4291463.pdf,10.1534/g3.114.015255,Glycine max,spontaneous mutation,chlorophyll-deficient foliage,reduced chlorophyll a and chlorophyll b levels,,"Disease Resistance, Photosynthesis",Glyma13g30560,,Unknown,Mutation
4299439.pdf,10.3389/fpls.2014.00782,Arabidopsis thaliana,Agrobacterium-mediated overexpression,Accelerated plant growth and improved stress tolerance,Increased growth rate; Earlier flowering | Increased root length; Increased fresh weight | Decreased root length; Decreased fresh weight,CaMV 35S,"Above-Ground Biomass Property, Stress Tolerance",AtGRDP2,,Agrobacterium,Overexpression
4299439.pdf,10.3389/fpls.2014.00782,Arabidopsis thaliana,Agrobacterium-mediated overexpression,Accelerated plant growth and improved stress tolerance,Increased growth rate; Earlier flowering | Increased root length; Increased fresh weight | Decreased root length; Decreased fresh weight,CaMV 35S,"Above-Ground Biomass Yield, Flowering",AtGRDP2,,Agrobacterium,Overexpression
4302606.pdf,10.1186/s12870-014-0359-3,Zea mays,Agrobacterium-mediated transformation with an activation tagging construct containing a 4x tandem array of the SCBV-IM enhancer,Increased transcription,Higher transcript accumulation in leaves and roots of V3 stage plants compared to SCBV-IM::AAD1 events; similar levels in leaves of V8 stage plants | Significantly higher AAD1 transcript accumulation in SCBV-IM::AAD1 events in V3 leaves and V3/V8 roots compared to ZmUBI1::AAD1 events | Up to 10-fold increase in transcript accumulation for some genes; ectopic expression observed in 2 out of 8 genes | 4x tandem array of enhancer; 10 times more activity,ZmUBI1 | CaMV 35S | SCBV-IM,"Gene Expression, Plant Transformation",ZmUBI1,,Agrobacterium,Modification
4302606.pdf,10.1186/s12870-014-0359-3,Zea mays,Agrobacterium-mediated transformation with an activation tagging construct containing a 4x tandem array of the SCBV-IM enhancer,Increased transcription,Higher transcript accumulation in leaves and roots of V3 stage plants compared to SCBV-IM::AAD1 events; similar levels in leaves of V8 stage plants | Significantly higher AAD1 transcript accumulation in SCBV-IM::AAD1 events in V3 leaves and V3/V8 roots compared to ZmUBI1::AAD1 events | Up to 10-fold increase in transcript accumulation for some genes; ectopic expression observed in 2 out of 8 genes | 4x tandem array of enhancer; 10 times more activity,ZmUBI1 | CaMV 35S | SCBV-IM,"Gene Expression, Activation Tagging, Plant Transformation",ZmUBI1,,Agrobacterium,Modification
4307166.pdf,10.1186/s12870-014-0393-1,Triticum aestivum,RNA interference (RNAi),Reduced levels of omega-5 gliadins,Spot volume reduction: 66.0%; 78.4%; 79.4%; 87.8%,,"Above-Ground Biomass Property, Disease Resistance, Pharmaceutical Precursors",omega-5 gliadins,,RNAi,Knockdown/Out
4319384.pdf,10.3389/fpls.2015.00037,Arabidopsis thaliana,Overexpression,Increased proteolytic activity,Serine peptidase activity increased in hydroponic experiments | Serine peptidase activity increased in suspension cells | BSA degradation at pH 3.5; hIgGs degradation at pH 3.5 | BSA degradation at pH 4; hIgGs degradation at pH 4,,"Gene Expression, Protein Production",AT1G17430,,Unknown,Overexpression
4319384.pdf,10.3389/fpls.2015.00037,Arabidopsis thaliana,Overexpression,Increased proteolytic activity,Serine peptidase activity increased in hydroponic experiments | Serine peptidase activity increased in suspension cells | BSA degradation at pH 3.5; hIgGs degradation at pH 3.5 | BSA degradation at pH 4; hIgGs degradation at pH 4,,"Protein Production, Secretion",AT1G17430,,Unknown,Overexpression
4321543.pdf,10.1093/jxb/eru438,Arabidopsis thaliana,DEX-inducible overexpression,Enhanced seedling growth and seed viability,Seed size increased by 20-35 mg/1000 seeds; Seed viability improved under accelerated aging,DEX-inducible transcription system,"Seed Property, Seed Yield",Tap46,,Unknown,Overexpression
4323059.pdf,10.1186/s12906-015-0534-6,Curcuma purpurascens,RNAi silencing,Increased apoptosis,Bax mRNA up-regulation: 2.5-fold increase; Bcl-2 mRNA down-regulation: 0.5-fold change | Bcl-2 mRNA down-regulation: 0.5-fold change,,"Disease Resistance, Pharmaceutical Precursors",Bax,,RNAi,Knockdown/Out
4323059.pdf,10.1186/s12906-015-0534-6,Curcuma purpurascens,RNAi silencing,Increased apoptosis,Bax mRNA up-regulation: 2.5-fold increase; Bcl-2 mRNA down-regulation: 0.5-fold change | Bcl-2 mRNA down-regulation: 0.5-fold change,,Pharmaceutical Precursors,Bax,,RNAi,Knockdown/Out
4332304.pdf,10.3389/fpls.2015.00084,Oryza sativa,Overexpression using ubiquitin promoter,Enhanced drought tolerance,Increased drought tolerance; Hypersensitive to shoot growth inhibition by exogenous ABA,Ubiquitin,"Drought Tolerance, Stress Response",OsbZIP23,,Unknown,Overexpression
