Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,,Mod_Method,Mod_Direction
3542048.pdf,10.1093/jxb/ers349,oryza sativa,t-dna insertional knockout,"increased drought tolerance, reduced water loss, increased h2o2 accumulation",water loss rate: 50% at 6 hours; h2o2 content: 1.5 μm,maize ubiquitin promoter,"drought tolerance, water utilization",ossro1c,,unknown,knockdown/out
3551192.pdf,10.3389/fpls.2013.00001,arabidopsis thaliana,t-dna insertional knockout,increased phosphatidic acid (ptdoh) levels,accumulation within 5 minutes; peak at 2 minutes,,"stress response, lipid metabolism",dgk,,unknown,knockdown/out
3559844.pdf,10.1371/journal.pone.0054745,brassica rapa,specific method here,resistance to clubroot disease,mean disease index (di) < 1.0 for resistant lines; di > 1.0 for susceptible lines,lactuca sativa ubiquitin promoter,disease resistance,crr1a,,unknown,modification
3580809.pdf,10.1093/jxb/ers371,arabidopsis thaliana,t-dna insertional knockout,altered auxin transport and auxin response,root growth inhibition; dr5:gus expression prevented,,auxin transport; ethylene response,aux1,,unknown,knockdown/out
3580811.pdf,10.1093/jxb/ers374,vitis vinifera,35s promoter-driven overexpression,"increased cell size, altered embryo development",cell size increased by 11-fold at 17 days post-initiation; vvceb1 transcript levels increased 75-fold,camv 35s promoter,"above-ground biomass property, fruit property",vvceb1,,unknown,overexpression
3591138.pdf,10.1155/2013/654120,arabidopsis thaliana,overexpression,"increased drought, cold, and salinity tolerance",gene expression levels increased by 2.5-fold; proline accumulation increased by 1.8-fold | gene expression levels increased by 1.5-fold; stress protein production increased by 1.2-fold,,"drought tolerance, cold tolerance, salinity tolerance","cbf1, cbf2, dreb2a",,unknown,overexpression
3591335.pdf,10.1371/journal.pntd.0002046,nicotiana benthamiana,tobamovirus replicon vector-mediated overexpression,expression of aglycosylated ctb variant,expression yield of 0.5–1.5 g/kg of fresh leaf material | yield of pctb: 1 g per kg of fresh leaf material; gm1-ganglioside binding capacity: ic50 2.85 nm; thermal stability: tm 72.9°c,,"gene expression, plant transformation",cholera toxin b (ctb),,unknown,overexpression
3621894.pdf,10.1371/journal.pone.0060829,zea mays,agrobacterium-mediated transformation,resistance to rbsdv,disease score: 49.0–67.9; disease index: 49.0–67.9 | disease index: 0.0–4.1; susceptibility rate: 0.0–2.6,rice actin 1 promoter,"disease resistance, virus resistance",rnc70,,agrobacterium,modification
3628703.pdf,10.1371/journal.pone.0060990,arabidopsis thaliana,loss-of-function mutations,"reduced organ size, stunted growth, altered auxin sensitivity",root length: 4.3 ± 0.7* mm; hypocotyl length: 3 times shorter; leaf size: 0.28 ± 0.08* cm²,"native promoters of tmk1, tmk2, tmk3, tmk4","above-ground biomass property, above-ground biomass yield, disease resistance","tmk1, tmk2, tmk3, tmk4",,unknown,mutation
3652750.pdf,10.1186/1754-6834-6-71,panicum virgatum l.,overexpression,"increased ethanol yield, reduced lignin content, increased pectin content",ethanol yield increased by 2.6-fold; lignin content reduced by 60-70%; pectin content increased by 7-9 mg/g | ethanol yield increased by 2.6-fold; lignin content reduced by 60-70%; phenolic inhibitors reduced by 10-20%,,"biofuel precursors, plant transformation, above-ground biomass property",pvmyb4,,unknown,overexpression
3654415.pdf,10.1093/jxb/ert082,zea mays,ems-induced point mutation,"defective kernel development, reduced starch accumulation",reduced starch content; increased malate concentrations,,"starch synthesis, endosperm development",pgd3,,unknown,mutation
3654435.pdf,10.7554/elife.00421,datura wrightii,natural enzymatic activity (not a genetic modification),emission of (e)-2-glvs and (z)-3-glvs,emission of (e)-2-glvs increased under os treatment; (z)-3/(e)-2-ratio decreased,,"plant transformation, disease resistance",not explicitly mentioned,,unknown,modification
3664312.pdf,10.3389/fpls.2013.00158,oryza sativa,agrobacterium-mediated transformation,increased nicotianamine synthesis,enhanced hvnas1 expression in immature seeds,osactin1,"iron biofortification, gene expression",hvnas1,,agrobacterium,modification
3681289.pdf,10.1186/1471-2229-12-128,atractylodes lancea,overexpression via fungal elicitor,increased sesquiterpenoid accumulation,atractylone: 8.64 ± 1.19 μg/g; β-eudesmol: 104.75 ± 6.12 μg/g; hinesol: 65.15 ± 5.28 μg/g,endogenous promoter of hmgr gene,"above-ground biomass property, chemicals",hmgr,,unknown,overexpression
3685534.pdf,10.1186/1471-2164-14-343,prunus persica,crispr/cas9 knockout,increased lactone production,γ-decalactone: 0.90; γ-jasmolactone: 0.87,,"fruit property, above-ground biomass property",pp1002e07,,crispr/cas9,knockdown/out
3695937.pdf,10.1371/journal.pone.0067661,arabidopsis thaliana,ems-induced mutation,"increased hypocotyl and petiole length, reticulate and asymmetrically epinastic leaf laminae of reduced size, early flowering",hypocotyl length: 2.09 ± 0.26 mm; petiole length increase; leaf lamina size reduction,,"plant transformation, disease resistance, flowering",tcu1,,unknown,mutation
3699528.pdf,10.1371/journal.pone.0068161,oryza sativa,rnai-mediated silencing using the oleosin18 promoter,low phytate content,3.85-fold down-regulation in ipk1 transcripts; 69% seed phytic acid content; 50% seed phytic acid content | phytic acid levels decreased by 3.85-fold; inorganic phosphate increased; iron content increased by 1.8-fold,oleosin18,"above-ground biomass property, fruit property, seed property",ipk1,,rnai,knockdown/out
3716894.pdf,10.1186/1471-2229-13-99,nicotiana attenuata,agrobacterium-mediated transformation with t-dna insertions,progressive promoter methylation leading to transgene silencing,77% absolute increase in methylation within 45 days; 84.5% cg methylation in t3; 83.3% chg methylation in t3; 25.3% chh methylation in t3,35s promoter,"gene expression, disease resistance, plant transformation",35s promoter,,agrobacterium,modification
3716973.pdf,10.1186/1471-2164-14-460,ipomoea batatas,overexpression,increased storage root formation,expression increased by 60-fold; storage root yield increased by 4-8 per plant | expression increased by 1466.5-fold; starch levels increased by 1 mg g fw⁻¹ | expression increased by 100-fold; starch biosynthesis up-regulated | down-regulation of lignin biosynthesis genes | up-regulation of starch biosynthesis genes | up-regulation of knox genes,,"above-ground biomass property, storage, fruit property, fruit yield",ibkn2,,unknown,overexpression
3720949.pdf,10.1371/journal.pone.0070050,nicotiana tabacum,constitutive overexpression,"increased auxin efflux, altered cell size",cell length increased by ~30%; auxin efflux measured via [3h] naa accumulation,35s promoter,"auxin transport, cell property",abp1,,unknown,overexpression
3725402.pdf,10.3389/fpls.2013.00260,datura stramonium,site-directed mutagenesis,enzyme activity changes,vmax=24 ± 6.12 pkat mg⁻¹; kcat=0.04% of wild type,,"gene expression, biosensing",pmt,,unknown,modification
3741686.pdf,10.1093/jxb/ert133,arabidopsis thaliana,agrobacterium-mediated overexpression,enhanced drought and salt tolerance,germination rate under stress: 70%; root length: 3.0 cm,camv35s,"drought tolerance, salt resistance",tapi4kiiγ,,agrobacterium,overexpression
3745738.pdf,10.1093/jxb/ert216,arabidopsis thaliana,t-dna insertional knockout,stunted growth under short-day photoperiods,rosette dry weight: 16.0 ± 1.9 mg (col-0); 35% of col-0 (ntrc),,"starch metabolism, ros metabolism, plant growth regulation",ntrc,,unknown,knockdown/out
3751900.pdf,10.1186/1471-2229-13-117,arabidopsis thaliana,rna interference (rnai),"severe inhibition and defects in growth during vegetative and reproductive stages, sterility, chromosome fragmentation, loss of sister chromatid cohesion during meiosis",reduced cohesin association with chromatin; defects in meiotic chromosome organization; loss of centromeric pairing and cohesion | growth inhibition: severe; defects in meiosis: severe,atctf7 promoter,"gene expression, plant transformation, above-ground biomass yield, seed property, seed yield",atctf7,,rnai,knockdown/out
3782649.pdf,10.1007/s00122-013-2161-2,flax,ems-induced point mutation,"fatty acid composition, oil content, iodine value",palmitic acid: 6%; stearic acid: 4.4%; oleic acid: 26-28%; linoleic acid: 21.45%; linolenic acid: 58.08%; oil content: 44.14-48.46%; iodine value: 152.15-190.68%,,"fatty acid composition, oil content, iodine value, seed oil quality, lipid metabolism","sad1, sad2, fad2a, fad2b, fad3a, fad3b",,unknown,mutation
3788151.pdf,10.4142/jvs.2013.14.3.263,nicotiana tabacum,agrobacterium tumefaciens-mediated transformation using strain eha105,expression of recombinant antigenic proteins,0.6 mg vt2e-b per gram of seeds; 0.3% of total soluble protein | pcr product size 519 bp; western blot confirmed expression | pcr product size 270 bp; western blot confirmed expression,glob,"gene expression, plant transformation",f18 adhesive fimbriae,,agrobacterium,modification
3797462.pdf,10.3389/fpls.2013.00390,nicotiana tabacum,overexpression via transplastomic transformation,"increased photosynthetic activity, improved stress tolerance",chlorophyll a: 30.9 ± 1.3 μg cm⁻²; chlorophyll b: 12.0 ± 0.8 μg cm⁻²,psba regulatory sequence,"photosynthesis, stress tolerance","trx f, trx m",,unknown,overexpression
3798461.pdf,10.1371/journal.ppat.1003673,mhv-68,multisite-directed mutagenesis,deficiency in expansion of latent infection,p-value < 0.0001 latency deficit at 14 dpi,,"disease resistance, latency establishment",mlana,,unknown,modification
3804491.pdf,10.1371/journal.pone.0076954,glycine max,sirna-mediated gene silencing,down-regulation of chs7 and chs8 target mrnas,primary chs sirnas: 22-nt; secondary chs sirnas: 21-nt,,"gene expression, disease resistance",chs1-3-4,,unknown,knockdown/out
3814184.pdf,10.1093/pcp/pct127,oryza sativa,rna interference (rnai),retarded shoot growth,cytokinin concentration in xylem sap decreased; shoot fresh weight decreased | cytokinin concentration in roots decreased | root fresh weight unchanged | cytokinin concentration in shoots decreased | root cytokinin concentration increased by 20% after ammonium application; shoot cytokinin concentration increased by 15% after ammonium application | root cytokinin concentration increased by 18% after ammonium application; shoot cytokinin concentration increased by 12% after ammonium application | root cytokinin concentration increased by 16% after ammonium application; shoot cytokinin concentration increased by 10% after ammonium application,,"gene expression, above-ground biomass yield",osipt4,,rnai,knockdown/out
3815067.pdf,10.1534/g3.113.008417,sorghum bicolor,ems-induced point mutation,grain tannin presence,association peak at tannin1 locus; snp rank and significance,,"disease resistance, biosensing",tannin1,,unknown,mutation
3819737.pdf,10.1186/1471-2229-13-169,arabidopsis thaliana,t-dna insertional knockout,salt intolerance and aba sensitivity,"seedling survival rate under 150 mm nacl: wt 26-30%, mutant 70-77%; germination inhibition at 1.5 μm aba: wt 90%, mutant 55%",,"drought tolerance, salt stress response, stress tolerance",cyp709b3,,unknown,knockdown/out
3841200.pdf,10.1371/journal.pone.0080509,arabidopsis thaliana,gene mutation,cold-induced gene expression,"wild-type: 100; cpl1-2: 500; complemented: 100 | wild-type: 100; rcf3-2: 70; rcf3-2 cpl1-6: 50 | wild-type: 100; cpl1-6: 200; rcf3-2: 150 | expression level of rd29a-luc reporter gene under cold treatment | expression levels of cbf2, cbf3, and rd29a under cold treatment",arabidopsis cpl1 promoter | arabidopsis rcf3 promoter,"plant transformation, abiotic stress signalling",cpl1,,unknown,mutation
3849040.pdf,10.1186/1471-2229-13-138,arabidopsis thaliana,mu transposon insertion mutation,"reduced shoot growth, altered morphology, purple leaf coloration",rbcl mrna accumulation reduced 25–50 fold; rlsb mrna accumulation reduced 25–50 fold | lsu protein accumulation reduced 12–15 fold; rbcl mrna accumulation reduced 4-fold | lsu protein accumulation reduced 12–15 fold,,"gene expression, photosynthesis",rlsb,,unknown,mutation
3852326.pdf,10.1186/1471-2229-13-157,medicago truncatula,ems-induced mutation,"defective nodule development, impaired bacterial release and differentiation",reduced nitrogenase activity; decreased symbiotic gene expression,,"disease resistance, nitrogen fixation, symbiosis",ipd3,,unknown,mutation
3855750.pdf,10.1371/journal.pone.0082199,oryza sativa,agrobacterium-mediated transformation,leaf morphology and ultrastructure,"leaf length: 48.27±1.38 cm (a-o3); leaf width: 1.62±0.29 cm (a-o3); leaf area: 58.68±11.54 cm² (a-o3); leaf length: 52.11±3.61 cm (e-o3); leaf width: 1.84±0.15 cm (e-o3); leaf area: 72.52±9.98 cm² (e-o3) | leaf length: 48.27±1.38 cm (a-o3), 52.11±3.61 cm (e-o3); leaf width: 1.62±0.29 cm (a-o3), 1.84±0.15 cm (e-o3); leaf area: 58.68±11.54 cm² (a-o3), 72.52±9.98 cm² (e-o3)",,"plant transformation, leaf property, leaf yield",cry1ab/cry1ac,,agrobacterium,modification
3859232.pdf,10.3389/fpls.2013.00497,medicago truncatula,tnt1 insertion,desiccation tolerance,transcript levels increased during maturation; 740 transcripts positively correlated with dt | transcript levels increased during re-establishment of dt; 23 transcripts positively correlated with dt,abre-related sequences,"drought tolerance, seed property",abi3,,unknown,modification
3871816.pdf,10.1093/jxb/ert327,arabidopsis thaliana,t-dna insertional knockout,aba hypersensitivity,germination rate in 0 μm aba: 100%; germination rate in 0.5 μm aba: 90%; germination rate in 1 μm aba: 85%; germination rate in 2 μm aba: 80% | germination rate in 0 μm aba: 100%; germination rate in 0.5 μm aba: 95%; germination rate in 1 μm aba: 90%; germination rate in 2 μm aba: 85% | germination rate: 90%; greening rate: 43%,,"plant transformation, above-ground biomass property",ap-3μ,,unknown,knockdown/out
3888769.pdf,10.1155/2013/397401,oryza sativa,agrobacterium-mediated promoter-gus fusion,heat stress-induced gus activity,gus activity under heat stress: 63-fold to 45-fold increase; gus activity under drought stress: low activity,"oshsfb2cp, pm19p, hsp90p","disease resistance, stress tolerance","oshsfb2cp, pm19p, hsp90p",,agrobacterium,modification
